flight_id,window_start,actual_fault,predicted_fault,confidence,health_score
cooling_degradation_012,60,cooling_degradation,none,0.9976,100.0
cooling_degradation_012,90,cooling_degradation,none,0.9977,100.0
cooling_degradation_012,120,cooling_degradation,cooling_degradation,0.9547,100.0
cooling_degradation_012,150,cooling_degradation,cooling_degradation,0.9945,100.0
cooling_degradation_012,180,cooling_degradation,cooling_degradation,0.9877,100.0
cooling_degradation_012,210,cooling_degradation,cooling_degradation,0.9935,99.98
cooling_degradation_012,240,cooling_degradation,cooling_degradation,0.9984,99.34
cooling_degradation_012,270,cooling_degradation,cooling_degradation,0.9987,98.13
cooling_degradation_013,0,cooling_degradation,none,0.9958,100.0
cooling_degradation_013,30,cooling_degradation,none,0.9996,100.0
cooling_degradation_013,60,cooling_degradation,none,0.9986,100.0
cooling_degradation_013,90,cooling_degradation,none,0.9981,100.0
cooling_degradation_013,120,cooling_degradation,cooling_degradation,0.9219,100.0
cooling_degradation_013,150,cooling_degradation,cooling_degradation,0.9652,100.0
cooling_degradation_013,180,cooling_degradation,cooling_degradation,0.9675,100.0
cooling_degradation_013,210,cooling_degradation,cooling_degradation,0.9984,99.86
cooling_degradation_013,240,cooling_degradation,cooling_degradation,0.9779,98.9
cooling_degradation_013,270,cooling_degradation,cooling_degradation,0.9875,97.3
cooling_degradation_014,0,none,none,0.9959,100.0
cooling_degradation_014,30,none,none,0.9909,100.0
cooling_degradation_014,60,none,none,0.997,100.0
cooling_degradation_014,90,none,none,0.9998,100.0
cooling_degradation_014,120,none,none,0.9909,100.0
cooling_degradation_014,150,none,none,0.9976,100.0
cooling_degradation_014,180,none,cooling_degradation,0.9754,100.0
cooling_degradation_014,210,none,cooling_degradation,0.9923,99.99
cooling_degradation_014,240,none,cooling_degradation,0.999,99.25
cooling_degradation_014,270,none,cooling_degradation,0.9835,96.59
cooling_degradation_015,0,cooling_degradation,none,0.9989,100.0
cooling_degradation_015,30,cooling_degradation,none,0.9958,100.0
cooling_degradation_015,60,cooling_degradation,none,0.9997,100.0
cooling_degradation_015,90,cooling_degradation,none,0.9964,100.0
cooling_degradation_015,120,cooling_degradation,none,0.8621,100.0
cooling_degradation_015,150,cooling_degradation,cooling_degradation,0.9879,100.0
cooling_degradation_015,180,cooling_degradation,cooling_degradation,0.9972,100.0
cooling_degradation_015,210,cooling_degradation,cooling_degradation,0.9939,100.0
cooling_degradation_015,240,cooling_degradation,cooling_degradation,0.9992,99.24
cooling_degradation_015,270,cooling_degradation,cooling_degradation,0.9967,97.69
cooling_degradation_016,0,none,none,0.9965,100.0
cooling_degradation_016,30,none,none,0.9965,100.0
cooling_degradation_016,60,none,none,0.9988,100.0
cooling_degradation_016,90,none,none,0.9981,100.0
cooling_degradation_016,120,none,none,0.9994,100.0
cooling_degradation_016,150,none,none,0.994,100.0
cooling_degradation_016,180,none,cooling_degradation,0.9465,100.0
cooling_degradation_016,210,none,cooling_degradation,0.9955,100.0
cooling_degradation_016,240,none,cooling_degradation,0.999,99.75
cooling_degradation_016,270,none,cooling_degradation,0.994,97.72
cooling_degradation_017,0,none,none,0.998,100.0
cooling_degradation_017,30,none,none,0.9995,100.0
cooling_degradation_017,60,none,none,0.9984,100.0
cooling_degradation_017,90,none,none,0.9979,100.0
cooling_degradation_017,120,none,none,0.9924,100.0
cooling_degradation_017,150,none,none,0.9891,100.0
cooling_degradation_017,180,none,cooling_degradation,0.9815,100.0
cooling_degradation_017,210,none,cooling_degradation,0.9988,100.0
cooling_degradation_017,240,none,cooling_degradation,0.9983,99.32
cooling_degradation_017,270,none,cooling_degradation,0.9165,96.89
healthy_000,0,none,none,0.9967,100.0
healthy_000,30,none,none,0.9994,100.0
healthy_000,60,none,none,0.9973,100.0
healthy_000,90,none,none,0.9948,100.0
healthy_000,120,none,none,0.9891,100.0
healthy_000,150,none,none,0.9974,100.0
healthy_000,180,none,none,0.981,100.0
healthy_000,210,none,none,0.9923,100.0
healthy_000,240,none,none,0.9969,100.0
healthy_000,270,none,none,0.9971,100.0
healthy_001,0,none,none,0.9936,100.0
healthy_001,30,none,none,0.9985,100.0
healthy_001,60,none,none,0.9995,100.0
healthy_001,90,none,none,0.9986,100.0
healthy_001,120,none,none,0.9957,100.0
healthy_001,150,none,none,0.9845,100.0
healthy_001,180,none,none,0.9956,100.0
healthy_001,210,none,none,0.9863,100.0
healthy_001,240,none,none,0.9891,100.0
healthy_001,270,none,none,0.9988,100.0
healthy_002,0,none,none,0.9997,100.0
healthy_002,30,none,none,0.9955,100.0
healthy_002,60,none,none,0.9805,100.0
healthy_002,90,none,none,0.9761,100.0
healthy_002,120,none,none,0.9978,100.0
healthy_002,150,none,none,0.9751,100.0
healthy_002,180,none,none,0.9857,100.0
healthy_002,210,none,none,0.9719,100.0
healthy_002,240,none,none,0.9528,100.0
healthy_002,270,none,none,0.9826,100.0
healthy_003,0,none,none,0.9983,100.0
healthy_003,30,none,none,0.9895,100.0
healthy_003,60,none,none,0.9991,100.0
healthy_003,90,none,none,0.9997,100.0
healthy_003,120,none,none,0.9983,100.0
healthy_003,150,none,none,0.9876,100.0
healthy_003,180,none,none,0.9798,100.0
healthy_003,210,none,none,0.9928,100.0
healthy_003,240,none,none,0.9933,100.0
healthy_003,270,none,none,0.9983,100.0
healthy_004,0,none,none,0.9925,100.0
healthy_004,30,none,none,0.9897,100.0
healthy_004,60,none,none,0.9982,100.0
healthy_004,90,none,none,0.9684,100.0
healthy_004,120,none,none,0.999,100.0
healthy_004,150,none,none,0.9986,100.0
healthy_004,180,none,none,0.9985,100.0
healthy_004,210,none,none,0.9907,100.0
healthy_004,240,none,none,0.9973,100.0
healthy_004,270,none,none,0.9987,100.0
healthy_005,0,none,none,0.9863,100.0
healthy_005,30,none,none,0.9933,100.0
healthy_005,60,none,none,0.9551,100.0
healthy_005,90,none,none,0.9976,100.0
healthy_005,120,none,none,0.9977,100.0
healthy_005,150,none,none,0.9967,100.0
healthy_005,180,none,none,0.9984,100.0
healthy_005,210,none,none,0.9977,100.0
healthy_005,240,none,none,0.9962,100.0
healthy_005,270,none,none,0.9963,100.0
healthy_006,0,none,none,0.9993,100.0
healthy_006,30,none,none,0.9986,100.0
healthy_006,60,none,none,0.9956,100.0
healthy_006,90,none,none,0.9947,100.0
healthy_006,120,none,none,0.9737,100.0
healthy_006,150,none,none,0.991,100.0
healthy_006,180,none,none,0.994,100.0
healthy_006,210,none,none,0.9905,100.0
healthy_006,240,none,none,0.9959,100.0
healthy_006,270,none,none,0.9953,100.0
healthy_007,0,none,none,0.9981,100.0
healthy_007,30,none,none,0.9972,100.0
healthy_007,60,none,none,0.9705,100.0
healthy_007,90,none,none,0.9976,100.0
healthy_007,120,none,none,0.9955,100.0
healthy_007,150,none,none,0.9555,100.0
healthy_007,180,none,none,0.9962,100.0
healthy_007,210,none,none,0.993,100.0
healthy_007,240,none,none,0.9993,100.0
healthy_007,270,none,none,0.9979,100.0
healthy_008,0,none,none,0.9943,100.0
healthy_008,30,none,none,0.9983,100.0
healthy_008,60,none,none,0.9988,100.0
healthy_008,90,none,none,0.9977,100.0
healthy_008,120,none,none,0.9988,100.0
healthy_008,150,none,none,0.9958,100.0
healthy_008,180,none,none,0.9919,100.0
healthy_008,210,none,none,0.9985,100.0
healthy_008,240,none,none,0.9428,100.0
healthy_008,270,none,none,0.999,100.0
healthy_009,0,none,none,0.9923,100.0
healthy_009,30,none,none,0.9793,100.0
healthy_009,60,none,none,0.9989,100.0
healthy_009,90,none,none,0.9977,100.0
healthy_009,120,none,none,0.9908,100.0
healthy_009,150,none,none,0.9982,100.0
healthy_009,180,none,none,0.9988,100.0
healthy_009,210,none,none,0.97,100.0
healthy_009,240,none,none,0.9624,100.0
healthy_009,270,none,none,0.9992,100.0
healthy_010,0,none,none,0.9809,100.0
healthy_010,30,none,none,0.9986,100.0
healthy_010,60,none,none,0.9984,100.0
healthy_010,90,none,none,0.9935,100.0
healthy_010,120,none,none,0.9974,100.0
healthy_010,150,none,none,0.9974,100.0
healthy_010,180,none,none,0.9983,100.0
healthy_010,210,none,none,0.9975,100.0
healthy_010,240,none,none,0.9947,100.0
healthy_010,270,none,none,0.9955,100.0
healthy_011,0,none,none,0.9893,100.0
healthy_011,30,none,none,0.9962,100.0
healthy_011,60,none,none,0.9991,100.0
healthy_011,90,none,none,0.999,100.0
healthy_011,120,none,none,0.9982,100.0
healthy_011,150,none,none,0.9967,100.0
healthy_011,180,none,none,0.9991,100.0
healthy_011,210,none,none,0.9972,100.0
healthy_011,240,none,none,0.9906,100.0
healthy_011,270,none,none,0.9924,100.0
healthy_012,0,none,none,0.9984,100.0
healthy_012,30,none,none,0.9991,100.0
healthy_012,60,none,none,0.9995,100.0
healthy_012,90,none,none,0.9971,100.0
healthy_012,120,none,none,0.9973,100.0
healthy_012,150,none,none,0.984,100.0
healthy_012,180,none,none,0.9986,100.0
healthy_012,210,none,none,0.9993,100.0
healthy_012,240,none,none,0.9974,100.0
healthy_012,270,none,none,0.9797,100.0
healthy_013,0,none,none,0.9563,100.0
healthy_013,30,none,none,0.9965,100.0
healthy_013,60,none,none,0.978,100.0
healthy_013,90,none,none,0.9995,100.0
healthy_013,120,none,none,0.9956,100.0
healthy_013,150,none,none,0.9978,100.0
healthy_013,180,none,none,0.9972,100.0
healthy_013,210,none,none,0.9995,100.0
healthy_013,240,none,none,0.9924,100.0
healthy_013,270,none,none,0.9822,100.0
healthy_014,0,none,none,0.9925,100.0
healthy_014,30,none,none,0.9917,100.0
healthy_014,60,none,none,0.9973,100.0
healthy_014,90,none,none,0.996,100.0
healthy_014,120,none,none,0.9974,100.0
healthy_014,150,none,none,0.9954,100.0
healthy_014,180,none,none,0.9964,100.0
healthy_014,210,none,none,0.996,100.0
healthy_014,240,none,none,0.9908,100.0
healthy_014,270,none,none,0.9966,100.0
misfire_000,0,none,none,0.999,100.0
misfire_000,30,none,none,0.9994,100.0
misfire_000,60,none,none,0.999,100.0
misfire_000,90,none,none,0.9989,100.0
misfire_000,120,none,none,0.9989,100.0
misfire_000,150,none,none,0.9959,100.0
misfire_000,180,none,misfire,0.9036,100.0
misfire_000,210,none,none,0.9951,100.0
misfire_000,240,none,misfire,0.9984,99.74
misfire_000,270,none,misfire,0.9977,99.11
misfire_001,0,none,none,0.9981,100.0
misfire_001,30,none,none,0.9982,100.0
misfire_001,60,none,none,0.999,100.0
misfire_001,90,none,none,0.9992,100.0
misfire_001,120,none,none,0.9723,100.0
misfire_001,150,none,none,0.9899,100.0
misfire_001,180,none,misfire,0.9484,100.0
misfire_001,210,none,none,0.9812,99.99
misfire_001,240,none,misfire,0.9985,99.94
misfire_001,270,none,misfire,0.9986,99.31
misfire_002,0,none,none,0.9996,100.0
misfire_002,30,none,none,0.9987,100.0
misfire_002,60,none,none,0.9972,100.0
misfire_002,90,none,none,0.9985,100.0
misfire_002,120,none,none,0.9981,100.0
misfire_002,150,none,none,0.9996,100.0
misfire_002,180,none,none,0.9745,100.0
misfire_002,210,none,none,0.986,99.99
misfire_002,240,none,misfire,0.9982,99.94
misfire_002,270,none,misfire,0.9996,99.48
misfire_003,0,none,none,0.9977,100.0
misfire_003,30,none,none,0.9952,100.0
misfire_003,60,none,none,0.9978,100.0
misfire_003,90,none,none,0.9996,100.0
misfire_003,120,none,misfire,0.9621,100.0
misfire_003,150,none,none,0.9976,100.0
misfire_003,180,none,none,0.9938,100.0
misfire_003,210,none,misfire,0.9902,99.99
misfire_003,240,none,misfire,0.9986,99.82
misfire_003,270,none,misfire,0.9993,99.31
misfire_004,0,none,none,0.9926,100.0
misfire_004,30,none,none,0.9981,100.0
misfire_004,60,none,none,0.9983,100.0
misfire_004,90,none,none,0.9983,100.0
misfire_004,120,none,none,0.9976,100.0
misfire_004,150,none,none,0.9613,100.0
misfire_004,180,none,none,0.9948,100.0
misfire_004,210,none,misfire,0.9535,100.0
misfire_004,240,none,misfire,0.9988,99.98
misfire_004,270,none,misfire,0.9986,99.3
misfire_005,0,none,none,0.9984,100.0
misfire_005,30,none,none,0.9991,100.0
misfire_005,60,none,none,0.9997,100.0
misfire_005,90,none,none,0.9982,100.0
misfire_005,120,none,none,0.9995,100.0
misfire_005,150,none,none,0.9967,100.0
misfire_005,180,none,none,0.9898,100.0
misfire_005,210,none,misfire,0.9965,99.99
misfire_005,240,none,misfire,0.9988,99.97
misfire_005,270,none,misfire,0.9988,99.69
misfire_006,0,none,none,0.9993,100.0
misfire_006,30,none,none,0.9981,100.0
misfire_006,60,none,none,0.9993,100.0
misfire_006,90,none,none,0.9998,100.0
misfire_006,120,none,none,0.9974,100.0
misfire_006,150,none,none,0.994,100.0
misfire_006,180,none,none,0.9984,100.0
misfire_006,210,none,none,0.9985,100.0
misfire_006,240,none,misfire,0.9985,99.95
misfire_006,270,none,misfire,0.9995,99.59
misfire_007,0,none,none,0.9991,100.0
misfire_007,30,none,none,0.9984,100.0
misfire_007,60,none,none,0.9996,100.0
misfire_007,90,none,none,0.999,100.0
misfire_007,120,none,none,0.998,100.0
misfire_007,150,none,none,0.9043,100.0
misfire_007,180,none,none,0.998,100.0
misfire_007,210,none,none,0.9814,100.0
misfire_007,240,none,misfire,0.9989,99.86
misfire_007,270,none,misfire,0.9985,99.32
misfire_008,0,none,none,0.999,100.0
misfire_008,30,none,none,0.9993,100.0
misfire_008,60,none,none,0.9952,100.0
misfire_008,90,none,none,0.9983,100.0
misfire_008,120,none,none,0.9968,100.0
misfire_008,150,none,none,0.9983,100.0
misfire_008,180,none,none,0.983,100.0
misfire_008,210,none,none,0.9787,99.98
misfire_008,240,none,misfire,0.9834,99.95
misfire_008,270,none,misfire,0.9993,99.32
misfire_009,0,none,none,0.9983,100.0
misfire_009,30,none,none,0.9997,100.0
misfire_009,60,none,none,0.9974,100.0
misfire_009,90,none,none,0.9963,100.0
misfire_009,120,none,none,0.9713,100.0
misfire_009,150,none,none,0.9972,100.0
misfire_009,180,none,none,0.9977,100.0
misfire_009,210,none,misfire,0.9795,99.99
misfire_009,240,none,misfire,0.9996,99.76
misfire_009,270,none,misfire,0.9994,99.09
misfire_010,0,none,none,0.9984,100.0
misfire_010,30,none,none,0.9983,100.0
misfire_010,60,none,none,0.9987,100.0
misfire_010,90,none,none,0.9968,100.0
misfire_010,120,none,none,0.993,100.0
misfire_010,150,none,none,0.9989,100.0
misfire_010,180,none,misfire,0.9503,100.0
misfire_010,210,none,none,0.9993,100.0
misfire_010,240,none,misfire,0.9998,99.77
misfire_010,270,none,misfire,0.9994,98.87
misfire_011,0,none,none,0.9947,100.0
misfire_011,30,none,none,0.9985,100.0
misfire_011,60,none,none,0.9919,100.0
misfire_011,90,none,none,0.999,100.0
misfire_011,120,none,none,0.9971,100.0
misfire_011,150,none,none,0.9977,100.0
misfire_011,180,none,none,0.996,100.0
misfire_011,210,none,misfire,0.9898,99.99
misfire_011,240,none,misfire,0.9993,99.87
misfire_011,270,none,misfire,0.9986,99.45
misfire_012,0,none,none,0.9941,100.0
misfire_012,30,none,none,0.9999,100.0
misfire_012,60,none,none,0.9976,100.0
misfire_012,90,none,none,0.9972,100.0
misfire_012,120,none,none,0.993,100.0
misfire_012,150,none,none,0.9984,100.0
misfire_012,180,none,none,0.995,100.0
misfire_012,210,none,misfire,0.9858,99.98
misfire_012,240,none,misfire,0.9984,99.87
misfire_012,270,none,misfire,0.9994,98.88
misfire_013,0,none,none,0.9958,100.0
misfire_013,30,none,none,0.9996,100.0
misfire_013,60,none,none,0.9986,100.0
misfire_013,90,none,none,0.9982,100.0
misfire_013,120,none,none,0.9892,100.0
misfire_013,150,none,none,0.9779,100.0
misfire_013,180,none,none,0.9982,100.0
misfire_013,210,none,none,0.9962,99.99
misfire_013,240,none,misfire,0.9988,99.39
misfire_013,270,none,misfire,0.9982,99.15
misfire_014,0,none,none,0.9959,100.0
misfire_014,30,none,none,0.9909,100.0
misfire_014,60,none,none,0.997,100.0
misfire_014,90,none,none,0.9998,100.0
misfire_014,120,none,none,0.9909,100.0
misfire_014,150,none,none,0.999,100.0
misfire_014,180,none,none,0.9974,100.0
misfire_014,210,none,none,0.9948,100.0
misfire_014,240,none,misfire,0.9994,99.89
misfire_014,270,none,misfire,0.9984,99.17
misfire_015,0,none,none,0.9989,100.0
misfire_015,30,none,none,0.9958,100.0
misfire_015,60,none,none,0.9997,100.0
misfire_015,90,none,none,0.9964,100.0
misfire_015,120,none,none,0.9958,100.0
misfire_015,150,none,none,0.9989,100.0
misfire_015,180,none,none,0.9965,100.0
misfire_015,210,none,misfire,0.979,100.0
misfire_015,240,none,misfire,0.9988,99.51
misfire_015,270,none,misfire,0.9994,99.14
misfire_016,0,none,none,0.9965,100.0
misfire_016,30,none,none,0.9965,100.0
misfire_016,60,none,none,0.9988,100.0
misfire_016,90,none,none,0.9981,100.0
misfire_016,120,none,none,0.9994,100.0
misfire_016,150,none,none,0.9987,100.0
misfire_016,180,none,misfire,0.9639,100.0
misfire_016,210,none,none,0.9927,100.0
misfire_016,240,none,none,0.9607,100.0
misfire_016,270,none,misfire,0.9991,99.66
misfire_017,0,none,none,0.998,100.0
misfire_017,30,none,none,0.9995,100.0
misfire_017,60,none,none,0.9984,100.0
misfire_017,90,none,none,0.9979,100.0
misfire_017,120,none,none,0.9924,100.0
misfire_017,150,none,none,0.9987,100.0
misfire_017,180,none,none,0.9934,100.0
misfire_017,210,none,none,0.957,99.98
misfire_017,240,none,misfire,0.9979,99.92
misfire_017,270,none,misfire,0.9992,99.0
oil_issue_000,0,oil_issue,none,0.999,100.0
oil_issue_000,30,oil_issue,none,0.9994,100.0
oil_issue_000,60,oil_issue,none,0.999,100.0
oil_issue_000,90,oil_issue,none,0.9989,100.0
oil_issue_000,120,oil_issue,none,0.9966,100.0
oil_issue_000,150,oil_issue,oil_issue,0.9927,100.0
oil_issue_000,180,oil_issue,oil_issue,0.9981,100.0
oil_issue_000,210,oil_issue,oil_issue,0.9998,100.0
oil_issue_000,240,oil_issue,oil_issue,0.9997,99.71
oil_issue_000,270,oil_issue,oil_issue,0.9981,97.16
oil_issue_001,0,oil_issue,none,0.9981,100.0
oil_issue_001,30,oil_issue,none,0.9982,100.0
oil_issue_001,60,oil_issue,none,0.999,100.0
oil_issue_001,90,oil_issue,none,0.9992,100.0
oil_issue_001,120,oil_issue,oil_issue,0.9741,100.0
oil_issue_001,150,oil_issue,oil_issue,0.963,100.0
oil_issue_001,180,oil_issue,oil_issue,0.9993,100.0
oil_issue_001,210,oil_issue,oil_issue,0.9997,100.0
oil_issue_001,240,oil_issue,oil_issue,0.9994,99.76
oil_issue_001,270,oil_issue,oil_issue,0.9998,97.96
oil_issue_002,0,none,none,0.9996,100.0
oil_issue_002,30,none,none,0.9987,100.0
oil_issue_002,60,none,none,0.9972,100.0
oil_issue_002,90,none,none,0.9985,100.0
oil_issue_002,120,none,none,0.9981,100.0
oil_issue_002,150,none,none,0.9961,100.0
oil_issue_002,180,none,oil_issue,0.9923,100.0
oil_issue_002,210,none,oil_issue,0.9993,100.0
oil_issue_002,240,none,oil_issue,0.9998,99.29
oil_issue_002,270,none,oil_issue,0.9998,95.3
oil_issue_003,0,oil_issue,none,0.9977,100.0
oil_issue_003,30,oil_issue,none,0.9952,100.0
oil_issue_003,60,oil_issue,none,0.9978,100.0
oil_issue_003,90,oil_issue,none,0.9996,100.0
oil_issue_003,120,oil_issue,oil_issue,0.9886,100.0
oil_issue_003,150,oil_issue,oil_issue,0.9992,100.0
oil_issue_003,180,oil_issue,oil_issue,0.9995,100.0
oil_issue_003,210,oil_issue,oil_issue,0.9999,99.92
oil_issue_003,240,oil_issue,oil_issue,0.9999,98.26
oil_issue_003,270,oil_issue,oil_issue,0.9999,95.01
oil_issue_004,0,oil_issue,none,0.9926,100.0
oil_issue_004,30,oil_issue,none,0.9981,100.0
oil_issue_004,60,oil_issue,none,0.9983,100.0
oil_issue_004,90,oil_issue,none,0.9983,100.0
oil_issue_004,120,oil_issue,none,0.9814,100.0
oil_issue_004,150,oil_issue,oil_issue,0.978,100.0
oil_issue_004,180,oil_issue,oil_issue,0.9972,100.0
oil_issue_004,210,oil_issue,oil_issue,0.9997,100.0
oil_issue_004,240,oil_issue,oil_issue,0.9998,99.62
